Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,magic_feature
1,1,1,29.69911764705882,0,0,19988,30.5,3,0
0,3,1,19,0,0,348124,7.65,3,1
1,1,0,58,0,0,113783,26.55,3,0
0,3,1,29.69911764705882,0,0,349201,7.8958,3,1
0,1,1,44,2,0,19928,90,1,1
0,3,1,29.69911764705882,0,0,371060,7.75,1,0
0,3,1,25,0,0,374887,7.25,3,1
0,2,1,28,0,0,248740,13,3,1
0,3,1,32,1,0,3101278,15.85,3,1
1,2,0,34,0,0,243880,13,3,0
0,3,1,29.69911764705882,0,0,2700,7.2292,0,1
0,3,1,28.5,0,0,2697,7.2292,0,1
0,2,1,31,1,1,31921,26.25,3,1
0,2,1,25,0,0,244361,13,3,1
0,3,1,29.69911764705882,0,0,349253,7.8958,0,0
0,1,1,64,0,0,693,26,3,1
1,3,0,26,0,0,3101282,7.925,3,0
0,1,1,38,0,0,19972,0,3,1
0,2,1,34,1,0,31027,21,3,1
0,3,1,20,0,0,2648,4.0125,0,1
1,3,1,16,0,0,392089,8.05,3,0
1,1,0,19,0,2,11752,26.2833,3,0
1,2,0,50,0,0,13531,10.5,3,0
0,3,1,29.69911764705882,3,1,4133,25.4667,3,1
0,3,0,30,1,1,345773,24.15,3,1
1,1,0,22,0,1,113505,55,3,1
0,3,0,29.69911764705882,0,2,364848,7.75,1,1
0,3,1,29.69911764705882,0,0,349214,7.8958,3,0
0,3,1,29.69911764705882,0,0,364851,7.75,1,1
1,2,1,3,1,1,29106,18.75,3,0
1,2,0,30,0,0,250648,13,3,0
0,3,1,28.5,0,0,54636,16.1,3,1
0,3,1,28,0,0,347464,7.8542,3,0
1,3,1,32,0,0,392078,8.05,3,0
1,2,0,42,0,0,236852,13,3,0
0,2,1,39,0,0,250655,26,3,1
1,3,0,24,0,2,9549,16.7,3,0
1,1,1,28,0,0,110564,26.55,3,0
0,1,1,36,0,0,13049,40.125,0,1
0,3,1,23.5,0,0,2693,7.2292,0,1
0,2,1,59,0,0,237442,13.5,3,1
1,1,0,18,2,2,17608,262.375,0,0
1,1,1,38,1,0,19943,90,3,0
1,2,1,19,0,0,751,10.5,3,0
1,3,1,29,0,0,345779,9.5,3,0
1,3,1,32,0,0,3101286,7.925,3,0
1,1,0,14,1,2,113760,120,3,0
1,2,0,42,1,0,3085,26,3,0
0,3,0,29.69911764705882,0,2,2678,15.2458,0,1
0,1,1,55,0,0,113787,30.5,3,1
0,3,0,29.69911764705882,0,0,330935,8.1375,1,1
0,3,1,25,0,0,348123,7.65,3,1
1,2,0,40,0,0,31418,13,3,0
1,2,1,0.67,1,1,250649,14.5,3,0
0,3,0,14,0,0,350406,7.8542,3,1
0,3,1,30.5,0,0,364499,8.05,3,1
1,1,0,40,0,0,17582,153.4625,3,0
0,3,1,40,0,0,349251,7.8958,3,1
0,3,1,29.69911764705882,0,0,349216,7.8958,3,0
0,2,1,18,0,0,29108,11.5,3,1
0,3,1,35,0,0,349213,7.8958,0,1
0,3,1,25,0,0,3101312,7.05,3,1
1,3,0,22,0,0,347081,7.75,3,1
1,3,0,4,0,1,349256,13.4167,0,0
0,3,1,29.69911764705882,0,0,330979,7.8292,1,1
1,3,0,29.69911764705882,0,0,14313,7.75,1,0
0,3,1,22,0,0,349206,7.8958,3,1
0,3,1,51,0,0,347064,7.75,3,1
0,3,1,59,0,0,364500,7.25,3,1
1,3,0,33,3,0,3101278,15.85,3,0
0,3,1,20,0,0,3101287,7.925,3,1
1,3,0,16,0,0,35851,7.7333,1,0
0,2,1,36,0,0,2163,12.875,0,1
0,1,1,39,0,0,112050,0,3,1
0,3,1,25,1,0,349237,17.8,3,1
1,1,0,19,1,0,11967,91.0792,0,0
0,3,0,26,1,0,3336,16.1,3,1
0,1,1,61,0,0,36963,32.3208,3,0
1,1,0,30,0,0,12749,93.5,3,0
0,1,1,45,0,0,113050,26.55,3,1
0,1,1,21,0,1,35281,77.2875,3,1
0,3,1,21,0,0,350029,7.8542,3,0
1,2,0,27,1,0,2149,13.8583,0,1
1,3,0,19,0,0,330958,7.8792,1,0
0,2,1,29,1,0,11668,21,3,0
0,3,1,35,0,0,3101273,7.125,3,1
1,2,0,19,0,0,250655,26,3,0
0,3,1,44,0,0,363592,8.05,3,0
1,2,0,36,1,0,226875,26,3,0
0,2,1,30,0,0,250653,13,3,1
0,2,1,27,0,0,211536,13,3,0
1,1,1,29.69911764705882,0,0,111427,26.55,3,0
0,3,1,21,0,0,2152,8.05,3,1
0,2,1,19,1,1,33112,36.75,3,1
1,3,0,29,0,2,2650,15.2458,0,0
0,3,1,20.5,0,0,21173,7.25,3,0
1,3,0,14,1,0,2651,11.2417,0,1
0,3,1,2,4,1,382652,29.125,1,1
0,3,1,27,0,0,349219,7.8958,3,1
0,2,1,25,0,0,234686,13,3,0
0,3,0,39,0,5,382652,29.125,1,1
1,2,0,13,0,1,250644,19.5,3,0
1,2,1,29.69911764705882,0,0,2146,13.8625,0,0
1,2,1,3,1,1,230080,26,3,0
0,3,0,21,0,0,364846,7.75,1,0
0,3,1,40,0,0,2623,7.225,0,0
1,2,0,50,0,0,14258,10.5,3,0
0,3,0,29,1,1,347054,10.4625,3,1
1,1,0,48,0,0,17466,25.9292,3,0
0,3,1,40,1,4,347088,27.9,3,0
1,1,0,39,1,1,17421,110.8833,0,0
1,2,0,24,2,3,29106,18.75,3,1
0,3,1,21,0,0,3101280,7.925,3,1
1,2,0,50,0,1,230433,26,3,1
0,3,1,19,0,0,349205,7.8958,3,1
1,3,0,29.69911764705882,0,2,2668,22.3583,0,0
1,2,0,29,0,0,29395,10.5,3,0
0,2,1,36,1,2,34651,27.75,3,1
1,1,0,29.69911764705882,1,0,19996,52,3,1
0,1,1,65,0,0,13509,26.55,3,0
0,2,1,36.5,0,2,230080,26,3,0
0,3,0,21,1,0,4137,9.825,3,1
0,2,1,36,0,0,17248,10.5,3,1
0,2,1,28,0,1,248727,33,3,1
1,3,0,15,1,0,2659,14.4542,0,0
0,3,1,11,5,2,2144,46.9,3,1
0,1,1,29.69911764705882,0,0,113510,35,3,1
1,3,0,17,4,2,3101281,7.925,3,1
0,3,1,43,0,0,3536,8.05,3,1
1,3,1,21,0,0,350034,7.7958,3,1
0,3,1,28,0,0,1601,56.4958,3,0
0,3,1,32,0,0,8471,8.3625,3,0
0,2,0,26,1,1,250651,26,3,1
1,1,1,36,0,1,17755,512.3292,0,0
1,3,0,13,0,0,2687,7.2292,0,0
1,1,0,49,1,0,17572,76.7292,0,0
0,3,1,21,0,0,8475,8.4333,3,1
0,1,1,24,0,1,17558,247.5208,0,1
0,2,1,18,0,0,14879,73.5,3,1
1,2,1,32,1,0,2908,26,3,1
1,3,1,20,0,0,2663,7.2292,0,0
1,1,0,29.69911764705882,0,0,17421,110.8833,0,1
1,2,0,36,0,0,27849,13,3,0
0,3,1,15,1,1,2695,7.2292,0,1
0,2,0,44,1,0,244252,26,3,1
0,2,1,30,0,0,250646,13,3,1
1,2,0,32.5,0,0,27267,13,3,0
0,1,1,62,0,0,113514,26.55,3,1
0,3,0,29.69911764705882,0,0,330909,7.6292,1,1
0,3,1,29.69911764705882,0,0,36209,7.725,1,1
0,3,1,29,1,0,3460,7.0458,3,0
0,3,1,37,2,0,3101276,7.925,3,1
0,2,1,37,1,0,29037,26,3,1
0,3,1,28,0,0,350042,7.7958,3,1
0,3,1,21,0,0,54636,16.1,3,1
0,3,1,29.69911764705882,0,0,349222,7.8958,3,0
0,3,1,43,0,0,7075,6.45,3,1
0,3,1,29.69911764705882,0,0,392086,8.05,3,1
0,3,0,2,3,2,347088,27.9,3,0
0,3,1,45,0,0,347061,6.975,3,0
0,3,1,22,0,0,345767,9,3,1
1,2,1,8,1,1,33112,36.75,3,0
1,3,1,26,0,0,2699,18.7875,0,0
1,2,0,29,1,0,228414,26,3,1
1,3,0,5,4,2,347077,31.3875,3,0
0,3,1,29.69911764705882,0,0,362316,7.25,3,1
1,1,0,18,1,0,17757,227.525,0,0
1,1,0,23,1,0,35273,113.275,0,1
0,1,1,28,1,0,17604,82.1708,0,0
0,3,0,18,1,0,349237,17.8,3,1
1,1,1,42,0,0,17476,26.2875,3,0
0,3,0,29.69911764705882,8,2,2343,69.55,3,1
1,2,0,24,0,0,248733,13,3,0
0,1,1,46,0,0,17593,79.2,0,1
0,3,1,29.69911764705882,1,0,370365,15.5,1,1
1,1,0,16,0,1,111361,57.9792,0,0
0,3,1,21,0,0,45380,8.05,3,1
0,3,1,16,0,0,347074,7.775,3,1
1,1,0,35,0,0,17755,512.3292,0,0
1,2,0,19,1,0,2908,26,3,1
0,3,0,9,1,1,2678,15.2458,0,1
0,1,1,54,0,0,17463,51.8625,3,1
1,2,0,48,1,2,220845,65,3,0
0,1,1,28,0,0,113059,47.1,3,1
1,1,0,17,1,0,17758,108.9,0,1
1,1,0,29.69911764705882,1,0,17464,51.8625,3,1
0,3,1,23,0,0,347468,7.8542,3,1
1,2,1,1,2,1,230136,39,3,1
0,3,1,55.5,0,0,11206,8.05,3,1
0,3,0,25,0,0,347071,7.775,3,1
0,2,0,57,0,0,3,10.5,3,1
1,2,1,62,0,0,752,10.5,3,1
1,2,0,45,1,1,13529,26.25,3,1
0,3,1,24,1,0,376566,16.1,3,1
1,1,1,36,1,2,113760,120,3,0
0,1,1,22,0,0,17760,135.6333,0,1
0,3,1,20,0,0,7534,9.8458,3,1
1,3,0,29.69911764705882,0,0,2626,7.2292,0,0
0,1,1,33,0,0,695,5,3,0
0,3,1,32,0,0,349242,7.8958,3,1
0,3,0,28,0,0,349245,7.8958,3,1
0,2,1,25,1,2,2123,41.5792,0,1
0,3,1,33,0,0,349257,7.8958,3,0
0,1,1,56,0,0,113792,26.55,3,1
0,3,0,18,2,0,345764,18,3,0
1,1,0,29.69911764705882,1,0,17569,146.5208,0,1
0,3,1,26,0,0,349248,7.8958,3,0
0,3,1,34.5,0,0,2683,6.4375,0,1
0,1,1,29.69911764705882,0,0,112379,39.6,0,1
1,3,0,29.69911764705882,0,0,335677,7.75,1,0
0,3,1,33,0,0,345780,9.5,3,1
0,3,1,29.69911764705882,0,0,36568,15.5,1,1
0,3,1,29.69911764705882,0,0,392082,8.05,3,0
0,3,1,42,0,1,4579,8.4042,3,1
0,3,1,4,4,2,347082,31.275,3,1
1,3,0,31,0,0,349244,8.6833,3,0
1,1,0,29.69911764705882,0,0,17585,79.2,0,0
0,2,1,28,0,0,218629,13.5,3,1
1,2,0,25,0,1,230433,26,3,0
1,1,0,23,3,2,19950,263,3,0
1,1,0,21,0,0,13502,77.9583,3,1
0,3,1,16,0,0,345778,9.5,3,1
0,3,0,29,0,4,349909,21.075,3,0
1,3,0,22,0,0,370373,7.75,1,0
1,3,1,29.69911764705882,0,0,65306,8.1125,3,0
0,3,1,29,0,0,343276,8.05,3,1
1,3,1,3,4,2,347077,31.3875,3,0
1,2,1,34,0,0,248698,13,3,1
1,1,1,36,0,0,17473,26.2875,3,0
0,3,1,30,0,0,349246,7.8958,3,0
0,3,1,51,0,0,347743,7.0542,3,1
0,3,1,28,1,0,3101279,15.85,3,1
0,3,1,27,1,0,2659,14.4542,0,1
1,1,0,40,1,1,16966,134.5,0,0
0,3,1,29.69911764705882,0,0,1601,56.4958,3,1
0,2,1,32,0,0,33111,10.5,3,1
1,1,1,56,0,0,13213,35.5,0,0
1,3,0,29.69911764705882,0,0,330959,7.8792,1,0
1,1,0,39,1,1,17756,83.1583,0,1
0,2,1,51,0,0,1166,12.525,3,1
0,3,1,29.69911764705882,0,0,2664,7.225,0,0
0,3,0,20,1,0,4136,9.825,3,1
0,3,0,29.69911764705882,0,0,6609,7.55,3,0
0,3,0,29.69911764705882,0,0,343095,8.05,3,1
0,1,1,52,1,1,110413,79.65,3,1
0,3,1,29.69911764705882,0,0,3101316,8.05,3,1
1,3,0,27,0,2,347742,11.1333,3,0
0,2,1,24,0,0,233866,13,3,1
0,3,1,25,1,0,347076,7.775,3,1
1,3,0,0.75,2,1,2666,19.2583,0,0
1,3,0,29.69911764705882,0,0,330919,7.8292,1,0
0,3,1,32,0,0,3101292,7.925,3,1
0,2,1,30,0,0,28228,13,3,1
0,2,1,27,0,0,220367,13,3,0
1,3,0,29.69911764705882,0,0,14312,7.75,1,0
0,3,1,29.69911764705882,0,0,323592,7.25,3,1
1,1,0,18,0,2,110413,79.65,3,1
1,1,1,48,0,0,19952,26.55,3,0
1,1,1,11,1,2,113760,120,3,0
0,3,1,10,3,2,347088,27.9,3,1
0,3,1,30,1,0,3336,16.1,3,0
0,3,1,29.69911764705882,0,0,349215,7.8958,3,1
1,3,1,27,0,0,350043,7.7958,3,0
1,3,0,22,0,0,347085,7.775,3,1
0,3,1,29.69911764705882,0,0,358585,14.5,3,0
1,3,0,0.75,2,1,2666,19.2583,0,0
1,1,1,32,0,0,13214,30.5,0,0
0,2,1,21,0,0,14879,73.5,3,1
1,2,0,31,1,1,31921,26.25,3,0
0,3,1,29.69911764705882,1,0,65303,19.9667,3,1
1,1,0,50,0,1,17558,247.5208,0,1
0,3,1,29.69911764705882,0,0,2816,8.05,3,1
0,3,1,29.69911764705882,0,0,368323,6.95,1,1
1,1,1,27,1,0,113806,53.1,3,0
0,2,1,34,1,0,244367,26,3,1
0,1,1,29.69911764705882,0,0,17600,30.6958,0,1
0,3,1,33,0,0,7540,8.6542,3,0
0,3,1,29.69911764705882,0,0,349217,7.8958,3,0
1,2,0,24,0,2,250649,14.5,3,0
0,3,1,16,4,1,3101295,39.6875,3,1
0,2,1,47,0,0,237565,15,3,1
1,2,0,14,1,0,237736,30.0708,0,0
0,3,1,25,0,0,349203,7.8958,3,1
0,3,1,70.5,0,0,370369,7.75,1,1
1,1,0,44,0,0,17610,27.7208,0,0
0,2,1,34,0,0,250647,13,3,1
1,1,0,33,0,0,110152,86.5,3,1
0,3,0,22,0,0,7552,10.5167,3,1
0,2,1,29.69911764705882,0,0,239853,0,3,1
1,3,0,5,0,0,364516,12.475,3,0
0,3,0,45,1,4,347088,27.9,3,1
1,3,0,31,1,1,363291,20.525,3,0
0,2,1,30,0,0,14208,10.5,3,1
0,3,1,29.69911764705882,0,0,372622,7.75,1,1
0,3,1,28,0,0,349207,7.8958,3,1
1,3,0,63,0,0,4134,9.5875,3,0
0,3,0,43,1,6,2144,46.9,3,1
1,3,1,25,1,0,347083,7.775,3,1
0,3,0,29.69911764705882,1,0,2665,14.4542,0,1
1,1,1,51,0,0,113055,26.55,3,0
0,1,1,45,1,0,36973,83.475,3,1
0,1,1,29.69911764705882,0,0,113767,50,3,1
1,2,0,28,1,0,2003,26,3,0
0,3,1,26,1,0,350025,7.8542,3,0
0,3,1,17,0,0,315090,8.6625,3,1
0,2,1,29,0,0,14263,10.5,3,1
0,3,1,34,0,0,363294,8.05,3,1
0,3,0,6,4,2,347082,31.275,3,0
0,3,1,16,0,0,7534,9.2167,3,0
0,3,0,29.69911764705882,3,1,4133,25.4667,3,0
1,1,1,17,0,2,17421,110.8833,0,0
0,3,1,24,0,0,3101311,7.05,3,1
1,2,0,40,0,0,33595,15.75,3,0
0,3,1,40,1,1,364849,15.5,1,0
1,1,0,24,0,0,17477,69.3,0,0
0,2,1,70,0,0,24580,10.5,3,1
0,3,1,29.69911764705882,1,0,65304,19.9667,3,1
1,1,1,29.69911764705882,0,0,11774,29.7,0,0
0,3,1,29.69911764705882,0,0,312993,7.775,3,0
0,3,1,36,1,1,345773,24.15,3,1
1,1,0,58,0,0,17569,146.5208,0,1
0,3,1,29.69911764705882,0,0,2647,7.225,0,1
1,1,0,30,0,0,110152,86.5,3,0
0,3,1,29,0,0,315082,7.875,3,1
0,1,1,29.69911764705882,0,0,17605,27.7208,0,0
0,2,1,54,1,0,244252,26,3,1
0,3,1,36,0,0,349210,7.4958,3,0
0,3,1,29.69911764705882,0,0,349254,7.8958,0,0
1,2,0,29.69911764705882,0,0,248727,33,3,1
1,3,0,29.69911764705882,0,0,35852,7.7333,1,0
0,3,1,35,0,0,373450,8.05,3,1
0,3,1,19,0,0,365222,6.75,1,1
1,2,0,35,0,0,13528,21,3,0
0,3,1,33,0,0,349239,8.6625,0,1
1,2,0,41,0,1,250644,19.5,3,1
0,2,0,38,0,0,237671,13,3,1
0,1,1,49,1,1,17421,110.8833,0,1
1,3,0,29.69911764705882,1,1,2668,22.3583,0,0
1,3,0,22,0,0,7077,7.25,3,0
0,3,1,19,0,0,0,0,3,1
0,2,1,48,0,0,234360,13,3,1
1,1,0,52,1,1,12749,93.5,3,0
1,1,0,35,1,0,36973,83.475,3,0
1,1,0,29,0,0,24160,211.3375,3,0
0,3,1,29.69911764705882,0,0,2671,7.2292,0,1
1,1,0,29.69911764705882,1,0,17611,133.65,3,0
1,3,1,18,0,0,3540,8.05,3,0
0,3,1,33,0,0,349241,7.8958,0,1
1,1,1,60,1,1,13567,79.2,0,0
0,3,1,29.69911764705882,0,0,367655,7.7292,1,0
0,3,1,1,5,2,2144,46.9,3,1
0,3,1,39,0,0,48871,24.15,3,1
1,1,0,29.69911764705882,1,0,17604,82.1708,0,0
0,2,1,25,1,0,236853,26,3,1
0,3,1,38,0,0,315089,8.6625,3,1
1,2,0,5,1,2,34651,27.75,3,0
1,3,0,15,0,0,2667,7.225,0,0
0,2,1,46,0,0,28403,26,3,1
0,3,0,14.5,1,0,2665,14.4542,0,1
0,3,1,31,0,0,347063,7.775,3,1
1,1,0,24,0,0,11767,83.1583,0,0
1,3,0,26,0,0,347470,7.8542,3,0
1,2,0,34,1,1,28220,32.5,3,0
0,3,1,29.69911764705882,0,0,349227,7.8958,3,1
1,3,1,29.69911764705882,1,1,2661,15.2458,0,0
1,1,1,37,1,1,11751,52.5542,3,0
0,1,1,29.69911764705882,0,0,112052,0,3,1
1,1,0,30,0,0,113798,31,0,0
1,1,0,35,0,0,17760,135.6333,3,0
0,3,0,32,1,1,364849,15.5,1,1
0,3,1,29.69911764705882,1,0,370371,15.5,1,1
1,1,0,29.69911764705882,1,0,17453,89.1042,0,0
0,2,1,29.69911764705882,0,0,239854,0,3,1
0,2,1,25,0,0,29178,13,3,0
0,3,1,31,0,0,335097,7.75,1,0
0,2,1,44,1,0,26707,26,3,1
1,3,1,29.69911764705882,0,0,1601,56.4958,3,0
0,3,1,38,0,0,3101306,7.05,3,1
1,1,0,33,1,0,19928,90,1,0
0,3,0,3,3,1,349909,21.075,3,1
0,3,1,4,4,1,382652,29.125,1,1
0,2,1,29.69911764705882,0,0,2131,15.05,0,1
0,3,1,9,5,2,2144,46.9,3,1
0,3,1,28,0,0,349243,7.8958,3,1
0,1,1,36,1,0,19877,78.85,3,1
1,3,0,24,1,0,3101279,15.85,3,0
1,2,0,33,0,2,26360,26,3,0
1,1,0,30,0,0,17761,106.425,0,1
1,2,0,4,2,1,230136,39,3,1
0,1,1,37,0,1,17596,29.7,0,1
0,3,1,45.5,0,0,2628,7.225,0,1
0,1,1,42,1,0,113789,52,3,0
0,3,0,20,0,0,315096,8.6625,3,1
1,2,0,34,0,1,231919,23,3,1
1,3,0,27,0,0,3101283,7.925,3,0
0,1,1,29.69911764705882,0,0,110465,52,3,1
1,2,1,42,0,0,237798,13,3,1
0,2,1,36,0,0,229236,13,3,1
0,3,1,34,0,0,364506,8.05,3,1
0,3,1,35,0,0,3101310,7.05,3,1
0,3,1,50,0,0,3594,8.05,3,1
0,3,0,40,1,0,7546,9.475,3,1
0,1,1,47,0,0,111320,38.5,3,0
1,3,1,32,0,0,350417,7.8542,3,0
0,2,1,23,0,0,28425,13,3,1
1,1,0,24,0,0,17482,49.5042,0,1
1,1,0,44,0,1,111361,57.9792,0,0
0,3,1,17,1,1,2690,7.2292,0,1
0,3,1,29.69911764705882,0,0,2624,7.225,0,1
0,1,1,58,0,0,11771,29.7,0,1
0,2,1,34,0,0,12233,13,3,1
1,3,1,25,0,0,0,0,3,1
0,3,0,8,3,1,349909,21.075,3,1
0,3,1,29.69911764705882,0,0,349218,7.8958,3,1
1,1,0,41,0,0,16966,134.5,0,0
1,3,0,29.69911764705882,0,0,330980,7.8792,1,0
0,2,1,57,0,0,219533,12.35,1,1
0,3,0,41,0,5,3101295,39.6875,3,1
1,3,0,29.69911764705882,0,0,36866,7.7375,1,0
0,3,1,18,0,0,2223,8.3,3,1
0,1,1,47,0,0,5727,25.5875,3,1
0,3,1,29.69911764705882,0,0,3101305,7.05,3,1
1,3,1,32,0,0,1601,56.4958,3,0
0,3,1,29.69911764705882,0,0,374746,8.05,3,1
1,3,1,22,0,0,2620,7.225,0,0
0,1,1,29.69911764705882,0,0,113056,26,3,0
0,3,1,20,0,0,350050,7.8542,3,1
0,1,1,65,0,1,113509,61.9792,0,1
0,3,0,9,3,2,347088,27.9,3,1
0,3,1,26,2,0,315151,8.6625,3,0
0,3,1,19,0,0,323951,8.05,3,0
0,3,1,19,0,0,347069,7.775,3,0
0,1,1,29.69911764705882,0,0,17318,25.925,3,1
0,3,1,16,0,0,20589,8.05,3,0
0,3,1,29.69911764705882,0,0,315037,8.6625,3,1
1,1,1,80,0,0,27042,30,3,0
0,3,1,61,0,0,345364,6.2375,3,1
1,3,1,39,0,0,3101289,7.925,3,0
0,3,1,22,1,0,21171,7.25,3,1
0,3,0,31,1,0,345763,18,3,1
0,3,0,37,0,0,4135,9.5875,3,0
1,2,1,29.69911764705882,0,0,244373,13,3,0
1,3,1,29.69911764705882,1,1,2661,15.2458,0,1
0,3,1,26,0,0,3474,7.8875,3,1
0,3,0,11,4,2,347082,31.275,3,1
1,3,1,4,1,1,347742,11.1333,3,0
0,3,1,29.69911764705882,0,0,265302,7.3125,3,0
0,2,1,24,2,0,14879,73.5,3,1
0,3,1,19,0,0,349231,7.8958,3,1
1,3,1,31,0,0,3101288,7.925,3,0
0,2,1,29.69911764705882,0,0,239853,0,3,0
0,3,1,29.69911764705882,0,0,370377,7.75,1,1
0,3,1,34,1,1,347080,14.4,3,1
0,3,0,24,0,0,349236,8.85,3,1
0,3,1,44,0,0,364511,8.05,3,0
0,2,1,50,0,0,250643,13,3,1
0,3,1,21,0,0,3101294,7.925,3,1
0,3,1,39,0,0,3101296,7.925,3,1
1,1,0,17,1,0,17474,57,3,0
1,2,0,7,0,2,13529,26.25,3,0
1,1,0,29.69911764705882,0,1,113505,55,3,0
1,1,1,40,0,0,112277,31,0,1
1,3,1,29.69911764705882,0,0,1601,56.4958,3,0
0,1,1,46,1,0,5734,61.175,3,1
0,3,1,29.69911764705882,0,0,23567,8.05,3,1
1,3,0,5,2,1,2666,19.2583,0,0
0,3,1,20,0,0,2151,8.05,3,1
1,3,0,29.69911764705882,0,0,2649,7.225,0,0
0,3,1,32,0,0,3101293,7.925,3,1
1,3,0,19,1,0,350046,7.8542,3,0
0,3,1,29.69911764705882,0,0,12460,7.75,1,1
1,1,0,16,0,1,17592,39.4,3,0
0,3,1,29.69911764705882,1,0,371110,24.15,1,1
0,3,1,21,0,0,315097,8.6625,3,1
0,3,1,18,0,0,350036,7.7958,3,1
1,3,1,26,0,0,1601,56.4958,3,0
0,3,1,30,0,0,18509,8.05,3,1
1,1,0,22,0,2,13568,49.5,0,0
0,3,1,9,4,2,347077,31.3875,3,1
0,3,1,28,0,0,345783,9.5,3,1
1,1,0,38,1,0,17599,71.2833,0,1
0,3,1,29.69911764705882,0,0,392092,8.05,3,1
0,3,1,34,0,0,3101264,6.4958,3,1
1,2,0,54,1,3,29105,23,3,1
0,1,1,29.69911764705882,0,0,113798,31,3,1
0,3,1,29.69911764705882,0,0,349234,7.8958,3,1
0,3,1,29,0,0,347067,7.775,3,0
1,3,1,20,1,1,2653,15.7417,0,0
0,2,1,54,0,0,29011,14,3,1
1,3,0,29.69911764705882,0,0,330931,7.8792,1,0
1,1,1,35,0,0,111426,26.55,0,0
0,3,1,29.69911764705882,0,0,349221,7.8958,3,1
0,3,1,24,0,0,343275,8.05,3,1
0,1,1,50,1,0,17761,106.425,0,1
0,3,1,26,1,0,2680,14.4542,0,0
1,3,0,21,0,0,343120,7.65,3,0
1,1,0,19,0,0,112053,30,3,0
0,3,1,21,0,0,3101317,7.25,3,1
0,3,0,18,0,0,365226,6.75,1,1
0,3,1,29.69911764705882,8,2,2343,69.55,3,1
0,3,0,29.69911764705882,3,1,4133,25.4667,3,0
1,3,1,29.69911764705882,0,0,312991,7.775,3,0
1,1,1,26,0,0,111369,30,0,1
0,1,0,25,1,2,113781,151.55,3,1
0,3,0,23,0,0,3101290,7.925,3,1
0,3,1,22,0,0,350060,7.5208,3,1
1,2,0,8,0,2,31921,26.25,3,0
1,3,0,23,0,0,2314,7.55,3,0
0,3,1,51,0,0,21440,8.05,3,1
1,3,1,32,0,0,1601,56.4958,3,0
1,1,0,31,0,2,36928,164.8667,3,0
